路線ID,路線名,駅ID,駅名,方面ID,方面名,日区分,日区分名,時,分
1,南北線,101,麻生,2,真駒内方面,1,平日,6時,00
1,南北線,101,麻生,2,真駒内方面,1,平日,6時,10
1,南北線,101,麻生,2,真駒内方面,1,平日,6時,20
1,南北線,101,麻生,2,真駒内方面,1,平日,6時,30
1,南北線,101,麻生,2,真駒内方面,1,平日,6時,39
1,南北線,101,麻生,2,真駒内方面,1,平日,6時,48
1,南北線,101,麻生,2,真駒内方面,1,平日,6時,57
1,南北線,101,麻生,2,真駒内方面,1,平日,7時,06
1,南北線,101,麻生,2,真駒内方面,1,平日,7時,14
1,南北線,101,麻生,2,真駒内方面,1,平日,7時,21
1,南北線,101,麻生,2,真駒内方面,1,平日,7時,29
1,南北線,101,麻生,2,真駒内方面,1,平日,7時,33
1,南北線,101,麻生,2,真駒内方面,1,平日,7時,37
1,南北線,101,麻生,2,真駒内方面,1,平日,7時,41
1,南北線,101,麻生,2,真駒内方面,1,平日,7時,45
1,南北線,101,麻生,2,真駒内方面,1,平日,7時,50
1,南北線,101,麻生,2,真駒内方面,1,平日,7時,54
1,南北線,101,麻生,2,真駒内方面,1,平日,7時,58
1,南北線,101,麻生,2,真駒内方面,1,平日,8時,02
1,南北線,101,麻生,2,真駒内方面,1,平日,8時,07
1,南北線,101,麻生,2,真駒内方面,1,平日,8時,11
1,南北線,101,麻生,2,真駒内方面,1,平日,8時,15
1,南北線,101,麻生,2,真駒内方面,1,平日,8時,19
1,南北線,101,麻生,2,真駒内方面,1,平日,8時,23
1,南北線,101,麻生,2,真駒内方面,1,平日,8時,27
1,南北線,101,麻生,2,真駒内方面,1,平日,8時,31
1,南北線,101,麻生,2,真駒内方面,1,平日,8時,36
1,南北線,101,麻生,2,真駒内方面,1,平日,8時,40
1,南北線,101,麻生,2,真駒内方面,1,平日,8時,44
1,南北線,101,麻生,2,真駒内方面,1,平日,8時,48※1
1,南北線,101,麻生,2,真駒内方面,1,平日,8時,52
1,南北線,101,麻生,2,真駒内方面,1,平日,8時,56
1,南北線,101,麻生,2,真駒内方面,1,平日,9時,00※1
1,南北線,101,麻生,2,真駒内方面,1,平日,9時,05
1,南北線,101,麻生,2,真駒内方面,1,平日,9時,09※1
1,南北線,101,麻生,2,真駒内方面,1,平日,9時,13
1,南北線,101,麻生,2,真駒内方面,1,平日,9時,17
1,南北線,101,麻生,2,真駒内方面,1,平日,9時,21
1,南北線,101,麻生,2,真駒内方面,1,平日,9時,25※1
1,南北線,101,麻生,2,真駒内方面,1,平日,9時,29
1,南北線,101,麻生,2,真駒内方面,1,平日,9時,33※1
1,南北線,101,麻生,2,真駒内方面,1,平日,9時,37
1,南北線,101,麻生,2,真駒内方面,1,平日,9時,42
1,南北線,101,麻生,2,真駒内方面,1,平日,9時,49
1,南北線,101,麻生,2,真駒内方面,1,平日,9時,56
1,南北線,101,麻生,2,真駒内方面,1,平日,10時,03
1,南北線,101,麻生,2,真駒内方面,1,平日,10時,10
1,南北線,101,麻生,2,真駒内方面,1,平日,10時,17
1,南北線,101,麻生,2,真駒内方面,1,平日,10時,24
1,南北線,101,麻生,2,真駒内方面,1,平日,10時,31
1,南北線,101,麻生,2,真駒内方面,1,平日,10時,38
1,南北線,101,麻生,2,真駒内方面,1,平日,10時,45
1,南北線,101,麻生,2,真駒内方面,1,平日,10時,52
1,南北線,101,麻生,2,真駒内方面,1,平日,10時,59
1,南北線,101,麻生,2,真駒内方面,1,平日,11時,06
1,南北線,101,麻生,2,真駒内方面,1,平日,11時,13
1,南北線,101,麻生,2,真駒内方面,1,平日,11時,20
1,南北線,101,麻生,2,真駒内方面,1,平日,11時,27
