路線ID,駅ID,方面ID,日区分,時,分
1,101,2,1,6時,00
1,101,2,1,6時,10
1,101,2,1,6時,20
1,101,2,1,6時,30
1,101,2,1,6時,39
1,101,2,1,6時,48
1,101,2,1,6時,57
1,101,2,1,7時,06
1,101,2,1,7時,14
1,101,2,1,7時,21
1,101,2,1,7時,29
1,101,2,1,7時,33
1,101,2,1,7時,37
1,101,2,1,7時,41
1,101,2,1,7時,45
1,101,2,1,7時,50
1,101,2,1,7時,54
1,101,2,1,7時,58
1,101,2,1,8時,02
1,101,2,1,8時,07
1,101,2,1,8時,11
1,101,2,1,8時,15
1,101,2,1,8時,19
1,101,2,1,8時,23
1,101,2,1,8時,27
1,101,2,1,8時,31
1,101,2,1,8時,36
1,101,2,1,8時,40
1,101,2,1,8時,44
1,101,2,1,8時,48※1
1,101,2,1,8時,52
1,101,2,1,8時,56
1,101,2,1,9時,00※1
1,101,2,1,9時,05
1,101,2,1,9時,09※1
1,101,2,1,9時,13
1,101,2,1,9時,17
1,101,2,1,9時,21
1,101,2,1,9時,25※1
1,101,2,1,9時,29
1,101,2,1,9時,33※1
1,101,2,1,9時,37
1,101,2,1,9時,42
1,101,2,1,9時,49
1,101,2,1,9時,56
1,101,2,1,10時,03
1,101,2,1,10時,10
1,101,2,1,10時,17
1,101,2,1,10時,24
1,101,2,1,10時,31
1,101,2,1,10時,38
1,101,2,1,10時,45
1,101,2,1,10時,52
1,101,2,1,10時,59
1,101,2,1,11時,06
1,101,2,1,11時,13
1,101,2,1,11時,20
1,101,2,1,11時,27
1,101,2,1,11時,34
1,101,2,1,11時,41
1,101,2,1,11時,48
1,101,2,1,11時,55
1,101,2,1,12時,02
1,101,2,1,12時,09
1,101,2,1,12時,16
1,101,2,1,12時,23
1,101,2,1,12時,30
1,101,2,1,12時,37
1,101,2,1,12時,44
1,101,2,1,12時,51
1,101,2,1,12時,58
1,101,2,1,13時,05
1,101,2,1,13時,12
1,101,2,1,13時,19
1,101,2,1,13時,26
1,101,2,1,13時,33
1,101,2,1,13時,40
1,101,2,1,13時,47
1,101,2,1,13時,54
1,101,2,1,14時,01
1,101,2,1,14時,08
1,101,2,1,14時,15
1,101,2,1,14時,22
1,101,2,1,14時,29
1,101,2,1,14時,36
1,101,2,1,14時,43
1,101,2,1,14時,50
1,101,2,1,14時,57
1,101,2,1,15時,04
1,101,2,1,15時,11
1,101,2,1,15時,18
1,101,2,1,15時,25
1,101,2,1,15時,32
1,101,2,1,15時,39
1,101,2,1,15時,46
1,101,2,1,15時,53
1,101,2,1,16時,01
1,101,2,1,16時,08
1,101,2,1,16時,15
1,101,2,1,16時,22
1,101,2,1,16時,29
1,101,2,1,16時,35
1,101,2,1,16時,40
1,101,2,1,16時,45
1,101,2,1,16時,50
1,101,2,1,16時,55
1,101,2,1,17時,00
1,101,2,1,17時,06
1,101,2,1,17時,11
1,101,2,1,17時,16
1,101,2,1,17時,21
1,101,2,1,17時,26
1,101,2,1,17時,31
1,101,2,1,17時,36
1,101,2,1,17時,42
1,101,2,1,17時,47
1,101,2,1,17時,52
1,101,2,1,17時,57
1,101,2,1,18時,02
1,101,2,1,18時,07
1,101,2,1,18時,13
1,101,2,1,18時,18
1,101,2,1,18時,23
1,101,2,1,18時,28
1,101,2,1,18時,33
1,101,2,1,18時,38
1,101,2,1,18時,43
1,101,2,1,18時,48
1,101,2,1,18時,53
1,101,2,1,18時,59
1,101,2,1,19時,04
1,101,2,1,19時,09
1,101,2,1,19時,14
1,101,2,1,19時,20
1,101,2,1,19時,25
1,101,2,1,19時,30
1,101,2,1,19時,36
1,101,2,1,19時,41
1,101,2,1,19時,46
1,101,2,1,19時,53
1,101,2,1,20時,02
1,101,2,1,20時,10
1,101,2,1,20時,18
1,101,2,1,20時,26
1,101,2,1,20時,34
1,101,2,1,20時,42
1,101,2,1,20時,50
1,101,2,1,20時,58
1,101,2,1,21時,06
1,101,2,1,21時,14
1,101,2,1,21時,22
1,101,2,1,21時,30
1,101,2,1,21時,38
1,101,2,1,21時,46
1,101,2,1,21時,54
1,101,2,1,22時,02
1,101,2,1,22時,10
1,101,2,1,22時,18
1,101,2,1,22時,27
1,101,2,1,22時,35
1,101,2,1,22時,43
1,101,2,1,22時,51
1,101,2,1,22時,59
1,101,2,1,23時,08
1,101,2,1,23時,17
1,101,2,1,23時,26
1,101,2,1,23時,35
1,101,2,1,23時,43
1,101,2,1,23時,51
1,101,2,1,0時,00
1,101,2,2,6時,00
1,101,2,2,6時,10
1,101,2,2,6時,20
1,101,2,2,6時,30
1,101,2,2,6時,40
1,101,2,2,6時,49
1,101,2,2,6時,57
1,101,2,2,7時,05
1,101,2,2,7時,12
1,101,2,2,7時,20
1,101,2,2,7時,26
1,101,2,2,7時,33
1,101,2,2,7時,39
1,101,2,2,7時,45
1,101,2,2,7時,51
1,101,2,2,7時,57
1,101,2,2,8時,03
1,101,2,2,8時,09
1,101,2,2,8時,15
1,101,2,2,8時,21
1,101,2,2,8時,27
1,101,2,2,8時,32
1,101,2,2,8時,38
1,101,2,2,8時,44
1,101,2,2,8時,50
1,101,2,2,8時,56
1,101,2,2,9時,03
1,101,2,2,9時,10
1,101,2,2,9時,15
1,101,2,2,9時,21
1,101,2,2,9時,28
1,101,2,2,9時,35
1,101,2,2,9時,42
1,101,2,2,9時,49
1,101,2,2,9時,56
1,101,2,2,10時,03
1,101,2,2,10時,10
1,101,2,2,10時,17
1,101,2,2,10時,24
1,101,2,2,10時,31
1,101,2,2,10時,38
1,101,2,2,10時,45
1,101,2,2,10時,52
1,101,2,2,10時,59
1,101,2,2,11時,06
1,101,2,2,11時,13
1,101,2,2,11時,20
1,101,2,2,11時,27
1,101,2,2,11時,34
1,101,2,2,11時,41
1,101,2,2,11時,48
1,101,2,2,11時,55
1,101,2,2,12時,02
1,101,2,2,12時,09
1,101,2,2,12時,16
1,101,2,2,12時,23
1,101,2,2,12時,30
1,101,2,2,12時,37
1,101,2,2,12時,44
1,101,2,2,12時,51
1,101,2,2,12時,58
1,101,2,2,13時,05
1,101,2,2,13時,12
1,101,2,2,13時,19
1,101,2,2,13時,26
1,101,2,2,13時,33
1,101,2,2,13時,40
1,101,2,2,13時,47
1,101,2,2,13時,54
1,101,2,2,14時,01
1,101,2,2,14時,08
1,101,2,2,14時,15
1,101,2,2,14時,22
1,101,2,2,14時,29
1,101,2,2,14時,36
1,101,2,2,14時,43
1,101,2,2,14時,50
